review,rating,date,bank,source
Make it user friendly.,2,2025-11-29,CBE,Google Play
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play
why didn't work this app?,1,2025-11-27,CBE,Google Play
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play
this app very bad 👎,1,2025-11-27,CBE,Google Play
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play
Good application,4,2025-11-27,CBE,Google Play
It is nice app,5,2025-11-26,CBE,Google Play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play
nice app...,5,2025-11-25,CBE,Google Play
very good banking service and fast service,5,2025-11-24,CBE,Google Play
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play
absolutely right,5,2025-11-21,CBE,Google Play
mid application it's so annoying,3,2025-11-20,CBE,Google Play
I used morethan one year,4,2025-11-20,CBE,Google Play
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play
"It's great app,I love this app",5,2025-11-20,CBE,Google Play
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play
I love you this app,5,2025-11-19,CBE,Google Play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play
make life easy,5,2025-11-19,CBE,Google Play
My most optional bank,5,2025-11-17,CBE,Google Play
it is fantastic app.,5,2025-11-16,CBE,Google Play
i like this√,4,2025-11-16,CBE,Google Play
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play
Nice and very useful app i like it!,5,2025-11-13,CBE,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play
cbe is my choice,4,2025-11-11,CBE,Google Play
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play
Very convenient App,5,2025-11-11,CBE,Google Play
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play
not Refresh,2,2025-11-10,CBE,Google Play
your statement is not used as wanted,1,2025-11-10,CBE,Google Play
good very good,5,2025-11-09,CBE,Google Play
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play
Very nice app,5,2025-11-08,CBE,Google Play
the app is not functional this week.,4,2025-11-08,CBE,Google Play
very updated bank,5,2025-11-05,CBE,Google Play
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play
this app is not working on my phone,5,2025-11-03,CBE,Google Play
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,Google Play
mobile banking broblem,5,2025-11-01,CBE,Google Play
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play
abdulakim abrahim elemoo,5,2025-10-28,CBE,Google Play
Abebaw Zenebe,5,2025-10-28,CBE,Google Play
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play
Active and granted system,5,2025-10-27,CBE,Google Play
Galaxy A10s,3,2025-10-26,CBE,Google Play
the best apps,5,2025-10-26,CBE,Google Play
arif app new,5,2025-10-26,CBE,Google Play
laga Bari biranch,5,2025-10-26,CBE,Google Play
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play
